year,round,type,institute,program,quota,category,gender,orank,crank,hist_crank_mean,hist_crank_min,hist_crank_max,hist_crank_count,candidate_rank,admitted,rank_diff,rank_ratio
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,178,1,-76.0,0.700787373984749
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,284,0,30.0,1.1181101922003862
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,292,0,38.0,1.1496062539525096
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,254,254,254.0,254.0,254.0,0,256,0,2.0,1.0078739760679536
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,1436,1,-343.0,0.8071950488634343
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,1521,1,-258.0,0.8549747000844593
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,1405,1,-374.0,0.7897695290063546
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,2239,0,460.0,1.2585722245161763
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,2093,0,314.0,1.1765036471247687
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,1779.0,1779.0,1779.0,0,1801,0,22.0,1.0123664923419533
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,2225,1,-594.0,0.7892869783991239
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,2720,1,-99.0,0.9648811601103896
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,2533,1,-286.0,0.8985455803528003
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,3294,0,475.0,1.1684994637513322
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,2878,0,59.0,1.0209294039697432
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only,2655,2819,2819.0,2819.0,2819.0,0,3330,0,511.0,1.1812699496939696
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,3550,1,-523.0,0.8715934179435467
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,3826,1,-247.0,0.9393567371977491
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,3040,1,-1033.0,0.7463785888868681
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,5031,0,958.0,1.2352074607532348
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,4760,0,687.0,1.168671737862333
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,4073.0,4073.0,4073.0,0,5031,0,958.0,1.2352074607532348
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,5704,1,-1643.0,0.7763713069601589
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,7041,1,-306.0,0.9583503457760306
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,6409,1,-938.0,0.8723288405167704
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,8876,0,1529.0,1.2081121529765726
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,7994,0,647.0,1.0880631535483012
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only,5075,7347,7347.0,7347.0,7347.0,0,9416,0,2069.0,1.2816115403816366
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,1574,1,-438.0,0.7823061591336672
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,1681,1,-331.0,0.835487073382271
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,1795,1,-217.0,0.8921471128620919
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,2613,0,601.0,1.2987077470243154
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,2328,0,316.0,1.1570576483247632
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,2012.0,2012.0,2012.0,0,2026,0,14.0,1.0069582454922552
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,1801,1,-428.0,0.8079856401615717
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,1905,1,-324.0,0.8546433339854493
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,2124,1,-105.0,0.9528936700184222
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,2569,0,340.0,1.1525347637840522
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,2321,0,92.0,1.0412741092809594
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only,2229,2229,2229.0,2229.0,2229.0,0,2596,0,367.0,1.164647818911405
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,669,1,-20.0,0.9709724097101247
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,680,1,-9.0,0.9869375763869728
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,653,1,-36.0,0.9477503490892548
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,697,0,8.0,1.0116110157966471
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,864,0,175.0,1.2539912735269771
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,689.0,689.0,689.0,0,724,0,35.0,1.0507982430943652
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,798,1,-50.0,0.9410377247519136
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,673,1,-175.0,0.7936320661128294
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,756,1,-92.0,0.8915094234491814
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,898,0,50.0,1.058962251663181
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,850,0,2.0,1.0023584787457727
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only,848,848,848.0,848.0,848.0,0,902,0,54.0,1.0636792327396318
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,9530,1,-2472.0,0.7940343269504797
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,9901,1,-2101.0,0.8249458416722665
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,9103,1,-2899.0,0.7584569232140835
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,14452,0,2450.0,1.2041326435559634
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,14780,0,2778.0,1.231461422070104
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,12002.0,12002.0,12002.0,0,13582,0,1580.0,1.13164472493614
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,12215,1,-5006.0,0.7093084021199069
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,16351,1,-870.0,0.9494802851463444
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,14035,1,-3186.0,0.8149933216334746
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,18217,0,996.0,1.0578363619662992
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,22133,0,4912.0,1.285233144831756
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only,17221,17221,17221.0,17221.0,17221.0,0,20564,0,3343.0,1.1941234532291252
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,240,1,-2.0,0.991735496209277
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,230,1,-12.0,0.9504131838672238
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,208,1,-34.0,0.8595040967147067
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,295,0,53.0,1.2190082140905696
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,266,0,24.0,1.0991735082986154
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,242,242,242.0,242.0,242.0,0,268,0,26.0,1.1074379707670259
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,1515,1,-342.0,0.8158319826826496
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,1486,1,-371.0,0.8002153968755229
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,1678,1,-179.0,0.9036079649778785
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,2350,0,493.0,1.265481953336123
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,1898,0,41.0,1.0220786159284942
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,1857.0,1857.0,1857.0,0,2014,0,157.0,1.0845449591570007
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,3026,1,-1278.0,0.7030669128646215
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,3076,1,-1228.0,0.7146840132093774
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,3532,1,-772.0,0.8206319683535503
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,5457,0,1153.0,1.267890331626649
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,4952,0,648.0,1.1505576181446153
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,4304.0,4304.0,4304.0,0,5391,0,1087.0,1.2525557591715712
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,6714,1,-1218.0,0.8464447795682744
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,7074,1,-858.0,0.8918305586335974
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,5943,1,-1989.0,0.7492435694033742
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,9631,0,1699.0,1.2141956616059058
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,8351,0,419.0,1.0528240027069793
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only,7932,7932,7932.0,7932.0,7932.0,0,10269,0,2337.0,1.2946293478383393
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,1804,1,-234.0,0.8851815461963615
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,1915,1,-123.0,0.9396467078525677
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,1656,1,-382.0,0.812561330654753
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,2079,0,41.0,1.0201177575067824
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,2066,0,28.0,1.0137389547902897
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,2038.0,2038.0,2038.0,0,2173,0,135.0,1.0662414079183444
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,2286,1,-695.0,0.7668567569042041
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,2925,1,-56.0,0.9812143543065603
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,2865,1,-116.0,0.9610868803720668
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,3014,0,33.0,1.0110701073093924
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,3029,0,48.0,1.0161019757930159
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only,2981,2981,2981.0,2981.0,2981.0,0,3484,0,503.0,1.1687353197962584
2020,6,IIT,Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11501,12492,12492.0,12492.0,12492.0,0,11198,1,-1294.0,0.8964137040534633
